Date,Visits,Visitors,Pageviews
2017-01-01,9533,8775,45001
2017-01-02,7123,6493,36302
2017-01-03,6493,5778,34781
2017-01-04,7262,6410,36995
2017-01-05,7807,6953,43026
2017-01-06,11587,10562,63963
2017-01-07,10841,9676,54291
2017-01-08,8167,7406,38408
2017-01-09,7192,6404,41228
2017-01-10,7212,6376,38718
2017-01-11,7787,6912,44866
2017-01-12,8649,7757,46295
2017-01-13,10529,9434,55964
2017-01-14,10051,8995,51998
2017-01-15,8429,7579,45647
2017-01-16,7533,6716,41696
2017-01-17,9005,8016,46380
2017-01-18,10093,9092,48457
2017-01-19,9189,8138,50483
2017-01-20,10005,8974,50861
2017-01-21,11260,10143,56539
2017-01-22,8952,8124,42905
2017-01-23,8177,7167,43372
2017-01-24,7991,7042,44857
2017-01-25,7808,6862,42422
2017-01-26,8083,7130,43738
2017-01-27,10122,9068,52984
2017-01-28,12308,11261,60222
2017-01-29,8968,8058,41662
2017-01-30,7476,6542,38446
2017-01-31,7473,6498,36185
2017-02-01,8398,7321,44585
2017-02-02,8391,7390,43938
2017-02-03,10479,9282,54194
2017-02-04,9823,8871,48499
2017-02-05,8004,7114,38049
2017-02-06,10700,9370,65073
2017-02-07,10323,9115,61404
2017-02-08,9907,8617,58037
2017-02-09,10461,9271,56450
2017-02-10,13096,11799,70321
2017-02-11,12468,11305,67476
2017-02-12,9693,8743,52914
2017-02-13,10140,9089,57445
2017-02-14,11186,10004,60047
2017-02-15,10443,9189,55653
2017-02-16,10549,9224,61427
2017-02-17,12979,11597,75108
2017-02-18,12038,10920,63870
2017-02-19,9693,8736,50060
2017-02-20,9565,8452,52568
2017-02-21,8964,7852,47669
2017-02-22,9648,8383,53961
2017-02-23,9758,8630,51504
2017-02-24,11564,10234,60502
2017-02-25,11589,10515,58558
2017-02-26,8742,7850,44513
2017-02-27,8320,7263,42233
2017-02-28,8408,7421,41687
2017-03-01,8348,7404,42409
2017-03-02,8595,7613,45063
2017-03-03,11106,9993,56301
2017-03-04,10924,9890,52386
2017-03-05,9114,8168,45342
2017-03-06,7901,6979,39590
2017-03-07,7900,6952,40939
2017-03-08,8441,7324,44193
2017-03-09,9004,8065,47252
2017-03-10,11696,10382,60745
2017-03-11,12447,11445,56165
2017-03-12,13436,12258,52059
2017-03-13,10821,9826,44607
2017-03-14,9739,8593,45638
2017-03-15,8178,7121,38812
2017-03-16,8219,7280,41643
2017-03-17,10457,9310,52120
2017-03-18,11600,10568,57572
2017-03-19,8749,7856,42674
2017-03-20,8104,7210,41160
2017-03-21,7974,6997,42005
2017-03-22,8131,7110,42436
2017-03-23,12674,11275,65824
2017-03-24,11900,10589,59980
2017-03-25,10788,9754,55325
2017-03-26,9104,8155,42830
2017-03-27,8297,7298,42105
2017-03-28,8649,7680,42588
2017-03-29,10660,9548,49209
2017-03-30,9678,8620,44277
