Date,Visits,UniqueVisitors,Pageviews
2018-01-01,10620,37798,45765
2018-01-02,8912,35159,42513
2018-01-03,9073,34936,42334
2018-01-04,9225,38401,46141
2018-01-05,14470,61758,74009
2018-01-06,14082,55234,66577
2018-01-07,9546,36710,43839
2018-01-08,11048,37601,45218
2018-01-09,8998,35096,42235
2018-01-10,9574,36242,43817
2018-01-11,8963,36086,43594
2018-01-12,10996,43753,53147
2018-01-13,10942,40370,48806
2018-01-14,8512,33031,39729
2018-01-15,7996,34270,41490
2018-01-16,9442,37594,45487
2018-01-17,8323,33003,40152
2018-01-18,8326,33651,40744
2018-01-19,10733,41836,51035
2018-01-20,11493,42578,52138
2018-01-21,10333,41158,49331
2018-01-22,10734,43682,52800
2018-01-23,9804,41677,49617
2018-01-24,9476,41279,49916
2018-01-25,9724,39952,48253
2018-01-26,12024,47434,57542
2018-01-27,12703,49723,60628
2018-01-28,11859,44962,54237
2018-01-29,18045,80412,96096
2018-01-30,14406,58787,70320
2018-01-31,11095,41894,51028
2018-02-01,13007,48953,58450
2018-02-02,13633,52814,63343
2018-02-03,13965,52074,63216
2018-02-04,11688,42185,50622
2018-02-05,10339,44455,53738
2018-02-06,9340,37922,45692
2018-02-07,10230,40060,48108
2018-02-08,10617,40133,48438
2018-02-09,12643,49500,59701
2018-02-10,13211,50720,61728
2018-02-11,10063,37520,45233
2018-02-12,9122,35394,43115
2018-02-13,9375,38281,46274
2018-02-14,11933,50822,61384
2018-02-15,10086,42828,51484
2018-02-16,12015,49047,59796
2018-02-17,12639,49203,59589
2018-02-18,8811,34494,41595
2018-02-19,10226,43031,52365
2018-02-20,10228,41443,50331
2018-02-21,9570,38059,46016
2018-02-22,9943,40362,49236
2018-02-23,11883,46313,56258
2018-02-24,11585,41886,50929
2018-02-25,8238,28331,33833
2018-02-26,8725,34627,41842
2018-02-27,9074,35137,43168
2018-02-28,8824,34128,41387
2018-03-01,10059,37263,44621
2018-03-02,11984,44299,53541
2018-03-03,13414,50248,60958
2018-03-04,11147,44857,53604
2018-03-05,10677,42941,51504
2018-03-06,13988,53288,63748
2018-03-07,11367,43691,52270
2018-03-08,9892,40212,48357
2018-03-09,13051,52960,63938
2018-03-10,13742,47587,57513
2018-03-11,11018,41023,49664
2018-03-12,8953,35647,43417
2018-03-13,8778,34962,42122
2018-03-14,8637,34613,41781
2018-03-15,9361,36381,43903
2018-03-16,11259,43137,52041
2018-03-17,11686,44264,54340
2018-03-18,9633,37883,45816
2018-03-19,8619,34855,42340
2018-03-20,8240,32700,39715
2018-03-21,8497,33538,40760
2018-03-22,8194,31453,38180
2018-03-23,11279,40885,49404
2018-03-24,11390,41871,51078
2018-03-25,8525,31204,37580
2018-03-26,7998,30348,37158
2018-03-27,9211,36151,43755
2018-03-28,8774,30292,36382
2018-03-29,9840,34066,40979
2018-03-30,10260,35132,42571
2018-03-31,9980,33754,40513
2018-04-01,9952,32660,39056
2018-04-02,10140,34830,41993
2018-04-03,8959,30977,37140
2018-04-04,9256,32949,39515
2018-04-05,9449,34714,41957
2018-04-06,10868,39163,46897
2018-04-07,10625,35829,43047
2018-04-08,9191,31651,38045
2018-04-09,8570,31072,37175
2018-04-10,9944,35183,42247
2018-04-11,9920,35777,42905
2018-04-12,10066,35574,42727
2018-04-13,10965,36275,43364
2018-04-14,9871,31124,37568
2018-04-15,9093,29671,35507
2018-04-16,7862,27675,32852
2018-04-17,7611,27251,32700
2018-04-18,7193,25331,30488
2018-04-19,7085,25212,30021
2018-04-20,8706,30366,36397
2018-04-21,8746,28015,34082
2018-04-22,7749,25664,30861
2018-04-23,8280,28798,34224
2018-04-24,5816,21510,25708
2018-04-25,169,179,189
2018-04-26,82,83,91
2018-04-27,62,63,64
2018-04-28,34,36,38
2018-04-29,24,25,26
2018-04-30,3935,15190,18209
2018-05-01,10186,38733,46279
2018-05-02,16765,51386,64087
2018-05-03,11551,43463,53492
2018-05-04,10929,39647,48331
2018-05-05,8777,27959,33900
2018-05-06,7841,25339,30736
2018-05-07,7604,27802,33324
2018-05-08,8094,30913,37077
2018-05-09,7879,29256,35015
2018-05-10,8303,29636,35968
2018-05-11,9954,35279,42481
2018-05-12,9933,31742,38323
2018-05-13,7731,25653,30645
2018-05-14,7001,25910,30795
2018-05-15,7652,29745,36304
2018-05-16,8084,31908,38352
2018-05-17,7746,30500,36406
2018-05-18,8693,30337,36321
2018-05-19,7576,23360,28115
2018-05-20,7066,23110,28251
2018-05-21,7121,26120,31201
2018-05-22,7072,27450,33102
2018-05-23,7181,27041,32534
2018-05-24,7373,27179,32569
2018-05-25,9547,33017,39848
2018-05-26,8402,26968,32627
2018-05-27,8297,27390,33087
2018-05-28,7596,27027,32397
2018-05-29,7776,28863,34669
2018-05-30,8365,31629,37677
2018-05-31,8582,31147,37251
2018-06-01,10420,35905,42713
2018-06-02,11135,34790,41950
2018-06-03,8155,26053,31495
2018-06-04,8438,31032,36808
2018-06-05,7954,28053,33945
2018-06-06,7820,27685,33308
2018-06-07,8160,28923,34821
2018-06-08,9497,34427,41521
2018-06-09,8813,29562,35521
2018-06-10,7572,25576,30813
2018-06-11,7219,27625,33436
2018-06-12,7392,27464,33499
2018-06-13,7667,27161,32732
2018-06-14,7494,28131,33438
2018-06-15,9490,31788,38275
2018-06-16,9943,32846,39794
2018-06-17,8798,28552,34697
2018-06-18,8032,29720,35451
2018-06-19,5558,21734,26053
2018-06-20,8596,31989,37911
2018-06-21,8088,28189,33992
2018-06-22,8714,29632,35510
2018-06-23,9457,31780,38482
2018-06-24,7995,28268,33674
2018-06-25,9106,39517,47292
2018-06-26,7855,29316,35394
2018-06-27,7578,28513,34385
2018-06-28,7804,27414,32484
2018-06-29,9156,31751,38422
2018-06-30,8016,25382,30768
2018-07-01,8453,26055,31335
2018-07-02,8667,26553,32105
2018-07-03,7120,23147,27838
2018-07-04,7703,27229,32927
2018-07-05,7546,25904,31268
2018-07-06,8998,29397,35361
2018-07-07,7409,23310,28440
2018-07-08,7300,23475,28445
2018-07-09,7273,25379,30495
2018-07-10,7129,25494,30661
2018-07-11,7062,24867,29900
2018-07-12,8952,28335,33756
2018-07-13,9207,32370,38662
2018-07-14,8768,28466,34329
2018-07-15,7998,27977,33990
2018-07-16,8285,28722,34675
2018-07-17,7388,26091,31252
2018-07-18,12897,35635,44196
2018-07-19,11187,41573,50113
2018-07-20,11211,39558,47785
2018-07-21,11083,37020,44976
2018-07-22,9754,33731,40532
2018-07-23,10549,38505,45916
2018-07-24,9069,32602,38646
2018-07-25,6458,21907,26060
2018-07-26,7221,26057,31529
2018-07-27,10203,34995,42147
2018-07-28,11186,34892,42128
2018-07-29,10280,33441,40440
2018-07-30,13480,45534,54698
2018-07-31,11812,43328,51690
2018-08-01,11929,40131,47915
2018-08-02,11421,40074,47904
2018-08-03,11548,41409,49317
2018-08-04,11499,37871,45810
2018-08-05,10227,33798,40678
2018-08-06,9273,32483,38954
2018-08-07,9600,33997,40442
2018-08-08,10098,35539,42078
2018-08-09,9880,35494,42303
2018-08-10,11194,38298,46175
2018-08-11,10768,35105,42114
2018-08-12,9851,34101,40901
2018-08-13,9318,33557,40137
2018-08-14,9932,33001,39514
2018-08-15,9256,32683,39077
2018-08-16,9593,34518,41286
2018-08-17,12146,38506,46198
2018-08-18,10859,35282,42607
2018-08-19,9145,31690,38303
2018-08-20,8234,30141,36342
2018-08-21,9029,32709,39118
2018-08-22,9356,33738,40484
2018-08-23,9797,34254,41319
2018-08-24,10830,37348,45398
2018-08-25,10255,34045,40963
2018-08-26,10777,35910,43073
2018-08-27,9786,32727,39320
2018-08-28,8380,29670,35516
2018-08-29,8187,30345,36460
2018-08-30,8188,29942,36015
2018-08-31,10133,36601,44176
2018-09-01,11233,35889,42990
2018-09-02,9766,31990,38300
2018-09-03,8273,28891,34850
2018-09-04,8414,29083,35138
2018-09-05,9231,32371,39365
2018-09-06,8526,31191,37464
2018-09-07,10372,35805,43465
2018-09-08,11517,37734,45714
2018-09-09,10401,33271,40042
2018-09-10,9760,32427,38840
2018-09-11,9964,32829,39132
2018-09-12,8933,31579,37978
2018-09-13,8754,32041,38535
2018-09-14,10259,34242,41476
2018-09-15,10184,33217,40223
2018-09-16,9709,30402,36345
2018-09-17,10175,36102,43232
2018-09-18,9560,34726,41474
2018-09-19,8926,31619,37820
2018-09-20,9352,34599,41449
2018-09-21,10721,37473,45002
2018-09-22,11168,36883,44859
2018-09-23,8673,29641,35598
2018-09-24,7451,27352,32816
2018-09-25,7381,26460,31957
2018-09-26,7638,28386,33932
2018-09-27,8614,31556,37910
2018-09-28,12827,46422,55863
2018-09-29,11484,37428,45163
2018-09-30,10007,34231,40943
2018-10-01,10791,34451,41037
2018-10-02,10386,35922,42815
2018-10-03,9042,30144,36621
2018-10-04,9063,30271,36713
2018-10-05,10664,32653,40045
2018-10-06,11052,31755,38779
2018-10-07,8665,26412,31717
2018-10-08,8019,26067,31200
2018-10-09,8967,31477,37848
2018-10-10,8431,29279,34906
2018-10-11,8927,30889,37090
2018-10-12,11046,33926,40977
2018-10-13,11752,31860,39413
2018-10-14,9705,30168,36166
2018-10-15,8323,28988,34522
2018-10-16,8024,27763,33349
2018-10-17,16613,39471,47929
2018-10-18,18506,72191,87317
2018-10-19,16679,71681,86631
2018-10-20,15827,60582,73333
2018-10-21,12514,50030,60508
2018-10-22,11649,45730,55104
2018-10-23,11241,45713,54982
2018-10-24,10569,41790,50313
2018-10-25,11922,48757,58861
2018-10-26,13881,55422,66732
2018-10-27,14709,53010,64703
2018-10-28,11971,41285,50168
2018-10-29,9483,35111,42307
2018-10-30,11139,40270,48459
2018-10-31,17089,52861,63258
2018-11-01,15636,53241,63720
2018-11-02,15996,56075,67926
2018-11-03,15183,51047,62281
2018-11-04,11832,40426,49057
2018-11-05,9955,37481,45134
2018-11-06,10280,39496,48195
2018-11-07,10752,40213,48197
2018-11-08,10533,41503,49481
2018-11-09,13564,51258,62176
2018-11-10,13831,48861,59655
2018-11-11,10394,35051,42348
2018-11-12,9887,38565,46483
2018-11-13,12320,46765,56310
2018-11-14,13496,47224,57142
2018-11-15,10758,42067,50619
2018-11-16,14153,54631,65952
2018-11-17,14384,52016,63743
2018-11-18,13896,50276,60391
2018-11-19,10809,41480,50233
2018-11-20,11012,43024,52105
2018-11-21,12213,47394,57052
2018-11-22,12493,48784,58751
2018-11-23,14578,55633,67632
